name,url
Momo Maker,https://swiggy.com/restaurants/momo-maker-central-market-lajpat-nagar-delhi-340739
Moets Kulfi,https://swiggy.com/restaurants/moets-kulfi-market-defence-colony-delhi-29751
Behrouz Biryani - Royal & Safe,https://swiggy.com/restaurants/behrouz-biryani-royal-and-safe-near-metro-station-shakarpur-khas-delhi-15671
Triveni Terrace Cafe,https://swiggy.com/restaurants/triveni-terrace-cafe-opposite-ficci-auditorium-mandi-house-delhi-16902
Momo Guy,https://swiggy.com/restaurants/momo-guy-gtb-nagar-delhi-555422
Saini Juice,https://swiggy.com/restaurants/saini-juice-near-radhe-krishna-mandir-gautam-nagar-delhi-52275
Teavaro,https://swiggy.com/restaurants/teavaro-gtb-nagar-delhi-541670
GANNU'S SHAKES AND SNACKS,https://swiggy.com/restaurants/gannus-shakes-and-snacks-laxmi-nagar-shahdara-delhi-304096
SABHARWAL AUNTY'S KITCHEN,https://swiggy.com/restaurants/sabharwal-auntys-kitchen-ashok-vihar-delhi-368934
PUNIKAR'S Mumbai Street Food,https://swiggy.com/restaurants/punikars-mumbai-street-food-pandav-nagar-mayur-vihar-delhi-154659
Choko La,https://swiggy.com/restaurants/choko-la-defence-colony-kotla-mubarakpur-delhi-426155
The Old Delhi,https://swiggy.com/restaurants/the-old-delhi-lajpat-nagar-defence-colony-delhi-569524
AKU'S - The Brrgrr Co.,https://swiggy.com/restaurants/akus-the-brrgrr-co-south-extension-delhi-435537
Zoet Ice Cream and Desserts,https://swiggy.com/restaurants/zoet-ice-cream-and-desserts-maharani-bagh-defence-colony-delhi-83680
SANADIGE,https://swiggy.com/restaurants/sanadige-chanakyapuri-delhi-257021
Suvidha Vegetarian (Old Delhi Original),https://swiggy.com/restaurants/suvidha-vegetarian-old-delhi-original-daryaganj-delhi-41655
Salad Days,https://swiggy.com/restaurants/salad-days-gole-market-delhi-526516
Caffe Tonino,https://swiggy.com/restaurants/caffe-tonino-pvr-plaza-connaught-place-delhi-14607
Havmor Havfunn ice cream,https://swiggy.com/restaurants/havmor-havfunn-ice-cream-m-block-cp-delhi-400890
Natural Ice Cream,https://swiggy.com/restaurants/natural-ice-cream-l-block-outer-circle-connaught-place-delhi-27797
Kwality Walls Frozen Dessert and Ice Cream Shop,https://swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-connaught-place-delhi-332576
Bawarchi (Gujranwala Town),https://swiggy.com/restaurants/bawarchi-gujranwala-town-gujranwala-town-delhi-58554
Downtown Delhi,https://swiggy.com/restaurants/downtown-delhi-laxmi-nagar-delhi-572530
Fabcafe By Fabindia,https://swiggy.com/restaurants/fabcafe-by-fabindia-lajpat-nagar-delhi-111547
Gopal Jee Ki Rasoi,https://swiggy.com/restaurants/gopal-jee-ki-rasoi-kirti-nagar-delhi-387088
Papacream,https://swiggy.com/restaurants/papacream-south-extension-delhi-458342
PAL CORNER,https://swiggy.com/restaurants/pal-corner-south-campus-delhi-559438
Large Pot,https://swiggy.com/restaurants/large-pot-laxmi-nagar-delhi-515990
Chimney Sizzler,https://swiggy.com/restaurants/chimney-sizzler-chankyapuri-chanakyapuri-delhi-12027
NIC Natural Ice Creams,https://swiggy.com/restaurants/nic-natural-ice-creams-bagh-karol-bagh-delhi-169835
Bismillah Kebab Point,https://swiggy.com/restaurants/bismillah-kebab-point-old-delhi-delhi-340434
Jung Bahadur Kachori Wala (Old Delhi Original),https://swiggy.com/restaurants/jung-bahadur-kachori-wala-old-delhi-original-chandni-chowk-delhi-41648
Third Wave Coffee Roasters,https://swiggy.com/restaurants/third-wave-coffee-roasters-connaught-place-delhi-554643
Cinnabon & Auntie Anne's,https://swiggy.com/restaurants/cinnabon-and-auntie-annes-shivaji-stadium-metro-connaught-place-delhi-126906
Theobroma,https://swiggy.com/restaurants/theobroma-connaught-place-delhi-58217
Hotel Saravana Bhavan,https://swiggy.com/restaurants/hotel-saravana-bhavan-janpath-market-connaught-place-delhi-8549
Raja Cafe,https://swiggy.com/restaurants/raja-cafe-laxmi-nagar-krishna-nagar-delhi-222760
Naga Pantry,https://swiggy.com/restaurants/naga-pantry-hauz-khas-delhi-527311
Wichee,https://swiggy.com/restaurants/wichee-gtb-nagar-delhi-541633
Red Chilli,https://swiggy.com/restaurants/red-chilli-safdarjung-enclave-delhi-22328
Saladspoint,https://swiggy.com/restaurants/saladspoint-lajpat-nagar-delhi-402311
Prince kitchen,https://swiggy.com/restaurants/prince-kitchen-lajpat-nagar-delhi-476752
Bihar Central,https://swiggy.com/restaurants/bihar-central-lajpat-nagar-delhi-447341
Ramesh Namkeen Bhandar,https://swiggy.com/restaurants/ramesh-namkeen-bhandar-patel-nagar-kirti-nagar-delhi-117317
For God's Cake,https://swiggy.com/restaurants/for-gods-cake-mayur-vihar-delhi-569839
Moets OH BAO,https://swiggy.com/restaurants/moets-oh-bao-defence-colony-delhi-6086
Miso - The Asian Kitchen,https://swiggy.com/restaurants/miso-the-asian-kitchen-laxmi-nagar-delhi-497901
The waffle co.,https://swiggy.com/restaurants/the-waffle-co-laxmi-nagar-shakarpur-khas-delhi-261514
Slay Coffee,https://swiggy.com/restaurants/slay-coffee-near-metro-station-shakarpur-khas-delhi-207708
Mamagoto,https://swiggy.com/restaurants/mamagoto-khan-market-rabindra-nagar-delhi-15187
Standard Corner,https://swiggy.com/restaurants/standard-corner-rajinder-nagar-delhi-36108
Bhaja Govindam,https://swiggy.com/restaurants/bhaja-govindam-daryaganj-connought-place-delhi-61236
Cheesecake & co.,https://swiggy.com/restaurants/cheesecake-and-co-laxmi-nagar-connaught-place-delhi-467130
FaYian,https://swiggy.com/restaurants/fayian-connaught-place-delhi-8556
Andhra Bhawan Canteen,https://swiggy.com/restaurants/andhra-bhawan-canteen-khan-market-khan-market-connaught-place-delhi-381240
Louis Burger,https://swiggy.com/restaurants/louis-burger-connaught-place-delhi-467579
Bistro 57,https://swiggy.com/restaurants/bistro-57-connaught-place-delhi-71429
Rajasthali,https://swiggy.com/restaurants/rajasthali-middle-circle-connaught-place-delhi-16809
High on desserts,https://swiggy.com/restaurants/high-on-desserts-connaught-place-delhi-463875
Chili's American Grill & Bar,https://swiggy.com/restaurants/chilis-american-grill-and-bar-connaught-place-delhi-31716
Daryaganj - By the inventors of Butter Chicken and Dal Makhani,https://swiggy.com/restaurants/daryaganj-by-the-inventors-of-butter-chicken-and-dal-makhani-connaught-place-delhi-337468
CHINKY'S MOMOS-SHANGHAI FOODS,https://swiggy.com/restaurants/chinkys-momos-shanghai-foods-connaught-place-delhi-344083
Dunkin',https://swiggy.com/restaurants/dunkin-k-g-marg-barakhamba-delhi-19989
Dhaba Food,https://swiggy.com/restaurants/dhaba-food-connaught-place-barakhamba-delhi-53436
CHINKY'S MOMOS-SHANGHAI FOODS,https://swiggy.com/restaurants/chinkys-momos-shanghai-foods-connaught-place-delhi-344083
Dhaba Food,https://swiggy.com/restaurants/dhaba-food-connaught-place-barakhamba-delhi-53436
Dunkin',https://swiggy.com/restaurants/dunkin-k-g-marg-barakhamba-delhi-19989
McDonald's,https://swiggy.com/restaurants/mcdonalds-cp-n-10-connaught-place-delhi-242282
Big Wong,https://swiggy.com/restaurants/big-wong-paschim-vihar-kirti-nagar-delhi-340558
My Hundred Rupee Meal,https://swiggy.com/restaurants/my-hundred-rupee-meal-2-lajpat-nagar-delhi-108505
SHAKE SAHAB,https://swiggy.com/restaurants/shake-sahab-laxmi-nagar-shahdara-delhi-350959
Miami Waffles & Jawbreakers,https://swiggy.com/restaurants/miami-waffles-and-jawbreakers-gtb-nagar-delhi-555451
CHAWLA'S JUNCTION,https://swiggy.com/restaurants/chawlas-junction-laxmi-nagar-krishna-nagar-delhi-320223
Mad Over Donuts,https://swiggy.com/restaurants/mad-over-donuts-jal-vihar-road-lajpat-nagar-delhi-4857
Dum Biryani By Kilos,https://swiggy.com/restaurants/dum-biryani-by-kilos-laxmi-nagar-delhi-482297
Prince Momo Point,https://swiggy.com/restaurants/prince-momo-point-hudson-lane-gtb-nagar-delhi-52294
Zaika Muradabadi Chicken Restaurant,https://swiggy.com/restaurants/zaika-muradabadi-chicken-restaurant-lajpat-nagar-delhi-550950
The Pasta Project,https://swiggy.com/restaurants/the-pasta-project-lajpat-nagar-delhi-403821
Baba's,https://swiggy.com/restaurants/babas-greater-kailash-2-lajpat-nagar-delhi-414526
Oriental Mom,https://swiggy.com/restaurants/oriental-mom-mayur-vihar-patparganj-delhi-213459
Caterspoint,https://swiggy.com/restaurants/caterspoint-lajpat-nagar-delhi-402310
Indian Masala Kitchen,https://swiggy.com/restaurants/indian-masala-kitchen-south-extension-defence-colony-delhi-386459
Fat Wrap Fat Roll,https://swiggy.com/restaurants/fat-wrap-fat-roll-lajpat-nagar-delhi-441826
The Salt Cafe Kitchen & Bar,https://swiggy.com/restaurants/the-salt-cafe-kitchen-and-bar-preet-vihar-nirman-vihar-delhi-16443
Greenit,https://swiggy.com/restaurants/greenit-south-extension-delhi-532321
Moolchand Paratha (Moolchand Metro),https://swiggy.com/restaurants/moolchand-paratha-moolchand-metro-moolchand-meetro-station-lajpat-nagar-delhi-15449
Concept,https://swiggy.com/restaurants/concept-lajpat-nagar-delhi-156772
Onlinecake.in,https://swiggy.com/restaurants/onlinecake-in-laxmi-nagar-delhi-438728
Hishi Cafe,https://swiggy.com/restaurants/hishi-cafe-jangpura-delhi-54527
Delhi Biryani Hut,https://swiggy.com/restaurants/delhi-biryani-hut-lajpat-nagar-double-storey-delhi-232467
Sushiya,https://swiggy.com/restaurants/sushiya-laxmi-nagar-delhi-34882
Chanakya Bar Be Que,https://swiggy.com/restaurants/chanakya-bar-be-que-south-campus-chanakyapuri-delhi-346200
The cakewell Bakery,https://swiggy.com/restaurants/the-cakewell-bakery-pillar-57-laxmi-nagar-delhi-44055
The Good Bowl,https://swiggy.com/restaurants/the-good-bowl-laxmi-nagar-shakarpur-khas-delhi-157799
If Pizza,https://swiggy.com/restaurants/if-pizza-ganesh-nagar-pandav-nagar-delhi-140916
Keventers - Milkshakes and Desserts,https://swiggy.com/restaurants/keventers-milkshakes-and-desserts-east-patel-nagar-delhi-241468
Subking,https://swiggy.com/restaurants/subking-rajinder-nagar-old-rajinder-nagar-rajinder-nagar-delhi-201862
L' Opera,https://swiggy.com/restaurants/l-opera-khan-market-delhi-395476
Camdin Patisserie and Boulangerie,https://swiggy.com/restaurants/camdin-patisserie-and-boulangerie-rajinder-place-old-rajinder-nagar-rajinder-nagar-delhi-30075
Yum Yum Cha,https://swiggy.com/restaurants/yum-yum-cha-khan-market-rabindra-nagar-delhi-288788
Mehtas (Old Delhi Original),https://swiggy.com/restaurants/mehtas-old-delhi-original-daryaganj-delhi-56166
Giani's,https://swiggy.com/restaurants/gianis-market-pandara-road-delhi-52745
Shakahari Restaurant (Chawri Bazaar),https://swiggy.com/restaurants/shakahari-restaurant-chawri-bazaar-chawri-bazar-metro-station-chandni-chowk-delhi-41345
BITTU KI BIRYANI,https://swiggy.com/restaurants/bittu-ki-biryani-karol-bagh-delhi-552273
Bangla Sweet House,https://swiggy.com/restaurants/bangla-sweet-house-gole-market-delhi-23260
Kaleva,https://swiggy.com/restaurants/kaleva-gole-market-connaught-place-delhi-delhi-44033
Cream Stone Ice Cream,https://swiggy.com/restaurants/cream-stone-ice-cream-paschim-vihar-barakhamba-delhi-226473
Ghee and Turmeric,https://swiggy.com/restaurants/ghee-and-turmeric-connaught-place-2-m-block-delhi-433575
Barista,https://swiggy.com/restaurants/barista-regal-cinema-building-connaught-place-delhi-21301
Gulati (Pandara Road),https://swiggy.com/restaurants/gulati-pandara-road-khan-market-pandara-road-delhi-31754
Khan Chacha,https://swiggy.com/restaurants/khan-chacha-cp-d-block-connaught-place-delhi-14951
Haldiram's,https://swiggy.com/restaurants/haldirams-connaught-place-delhi-367763
Radhey Shyam Subhash Kumar Special Chole Bhature,https://swiggy.com/restaurants/radhey-shyam-subhash-kumar-special-chole-bhature-paharganj-ratan-lal-market-paharganj-delhi-37524
Burger King,https://swiggy.com/restaurants/burger-king-inner-circle-connaught-place-delhi-8614
Refections,https://swiggy.com/restaurants/refections-gautam-nagar-delhi-52383
